id,cliente,ciudad,edad,compras,total_usd,activo,categoria
100,Cliente_00100,Bucaramanga,65,0,48.0,Sí,Bronce
101,Cliente_00101,Pereira,66,1,70.95,Sí,Plata
102,Cliente_00102,Bogotá,67,2,39.5,No,Oro
103,Cliente_00103,Medellín,68,3,62.45,Sí,Platino
104,Cliente_00104,Cali,69,4,85.4,Sí,Bronce
105,Cliente_00105,Cartagena,70,5,108.35,No,Plata
106,Cliente_00106,Bucaramanga,18,6,131.3,Sí,Oro
107,Cliente_00107,Pereira,19,7,154.25,Sí,Platino
108,Cliente_00108,Bogotá,20,8,177.2,No,Bronce
109,Cliente_00109,Medellín,21,9,200.15,Sí,Plata
110,Cliente_00110,Cali,22,10,223.1,Sí,Oro
111,Cliente_00111,Cartagena,23,11,246.05,No,Platino
112,Cliente_00112,Bucaramanga,24,12,269.0,Sí,Bronce
113,Cliente_00113,Pereira,25,13,291.95,Sí,Plata
114,Cliente_00114,Bogotá,26,14,314.9,No,Oro
115,Cliente_00115,Medellín,27,15,337.85,Sí,Platino
116,Cliente_00116,Cali,28,16,360.8,Sí,Bronce
117,Cliente_00117,Cartagena,29,17,383.75,No,Plata
118,Cliente_00118,Bucaramanga,30,18,406.7,Sí,Oro
119,Cliente_00119,Pereira,31,19,375.25,Sí,Platino
120,Cliente_00120,Bogotá,32,20,398.2,No,Bronce
121,Cliente_00121,Medellín,33,21,421.15,Sí,Plata
122,Cliente_00122,Cali,34,22,444.1,Sí,Oro
123,Cliente_00123,Cartagena,35,23,467.05,No,Platino
124,Cliente_00124,Bucaramanga,36,24,490.0,Sí,Bronce
125,Cliente_00125,Pereira,37,0,19.2,Sí,Plata
126,Cliente_00126,Bogotá,38,1,42.15,No,Oro
127,Cliente_00127,Medellín,39,2,65.1,Sí,Platino
128,Cliente_00128,Cali,40,3,88.05,Sí,Bronce
129,Cliente_00129,Cartagena,41,4,111.0,No,Plata
130,Cliente_00130,Bucaramanga,42,5,133.95,Sí,Oro
131,Cliente_00131,Pereira,43,6,156.9,Sí,Platino
132,Cliente_00132,Bogotá,44,7,179.85,No,Bronce
133,Cliente_00133,Medellín,45,8,202.8,Sí,Plata
134,Cliente_00134,Cali,46,9,225.75,Sí,Oro
135,Cliente_00135,Cartagena,47,10,248.7,No,Platino
136,Cliente_00136,Bucaramanga,48,11,217.25,Sí,Bronce
137,Cliente_00137,Pereira,49,12,240.2,Sí,Plata
138,Cliente_00138,Bogotá,50,13,263.15,No,Oro
139,Cliente_00139,Medellín,51,14,286.1,Sí,Platino
140,Cliente_00140,Cali,52,15,309.05,Sí,Bronce
141,Cliente_00141,Cartagena,53,16,332.0,No,Plata
142,Cliente_00142,Bucaramanga,54,17,354.95,Sí,Oro
143,Cliente_00143,Pereira,55,18,377.9,Sí,Platino
144,Cliente_00144,Bogotá,56,19,400.85,No,Bronce
145,Cliente_00145,Medellín,57,20,423.8,Sí,Plata
146,Cliente_00146,Cali,58,21,446.75,Sí,Oro
147,Cliente_00147,Cartagena,59,22,469.7,No,Platino
148,Cliente_00148,Bucaramanga,60,23,492.65,Sí,Bronce
149,Cliente_00149,Pereira,61,24,515.6,Sí,Plata
150,Cliente_00150,Bogotá,62,0,44.8,No,Oro
151,Cliente_00151,Medellín,63,1,67.75,Sí,Platino
152,Cliente_00152,Cali,64,2,90.7,Sí,Bronce
153,Cliente_00153,Cartagena,65,3,59.25,No,Plata
154,Cliente_00154,Bucaramanga,66,4,82.2,Sí,Oro
155,Cliente_00155,Pereira,67,5,105.15,Sí,Platino
156,Cliente_00156,Bogotá,68,6,128.1,No,Bronce
157,Cliente_00157,Medellín,69,7,151.05,Sí,Plata
158,Cliente_00158,Cali,70,8,174.0,Sí,Oro
159,Cliente_00159,Cartagena,18,9,196.95,No,Platino
160,Cliente_00160,Bucaramanga,19,10,219.9,Sí,Bronce
161,Cliente_00161,Pereira,20,11,242.85,Sí,Plata
162,Cliente_00162,Bogotá,21,12,265.8,No,Oro
163,Cliente_00163,Medellín,22,13,288.75,Sí,Platino
164,Cliente_00164,Cali,23,14,311.7,Sí,Bronce
165,Cliente_00165,Cartagena,24,15,334.65,No,Plata
166,Cliente_00166,Bucaramanga,25,16,357.6,Sí,Oro
167,Cliente_00167,Pereira,26,17,380.55,Sí,Platino
168,Cliente_00168,Bogotá,27,18,403.5,No,Bronce
169,Cliente_00169,Medellín,28,19,426.45,Sí,Plata
170,Cliente_00170,Cali,29,20,395.0,Sí,Oro
171,Cliente_00171,Cartagena,30,21,417.95,No,Platino
172,Cliente_00172,Bucaramanga,31,22,440.9,Sí,Bronce
173,Cliente_00173,Pereira,32,23,463.85,Sí,Plata
174,Cliente_00174,Bogotá,33,24,486.8,No,Oro
175,Cliente_00175,Medellín,34,0,16.0,Sí,Platino
176,Cliente_00176,Cali,35,1,38.95,Sí,Bronce
177,Cliente_00177,Cartagena,36,2,61.9,No,Plata
178,Cliente_00178,Bucaramanga,37,3,84.85,Sí,Oro
179,Cliente_00179,Pereira,38,4,107.8,Sí,Platino
180,Cliente_00180,Bogotá,39,5,130.75,No,Bronce
181,Cliente_00181,Medellín,40,6,153.7,Sí,Plata
182,Cliente_00182,Cali,41,7,176.65,Sí,Oro
183,Cliente_00183,Cartagena,42,8,199.6,No,Platino
184,Cliente_00184,Bucaramanga,43,9,222.55,Sí,Bronce
185,Cliente_00185,Pereira,44,10,245.5,Sí,Plata
186,Cliente_00186,Bogotá,45,11,268.45,No,Oro
187,Cliente_00187,Medellín,46,12,237.0,Sí,Platino
188,Cliente_00188,Cali,47,13,259.95,Sí,Bronce
189,Cliente_00189,Cartagena,48,14,282.9,No,Plata
190,Cliente_00190,Bucaramanga,49,15,305.85,Sí,Oro
191,Cliente_00191,Pereira,50,16,328.8,Sí,Platino
192,Cliente_00192,Bogotá,51,17,351.75,No,Bronce
193,Cliente_00193,Medellín,52,18,374.7,Sí,Plata
194,Cliente_00194,Cali,53,19,397.65,Sí,Oro
195,Cliente_00195,Cartagena,54,20,420.6,No,Platino
196,Cliente_00196,Bucaramanga,55,21,443.55,Sí,Bronce
197,Cliente_00197,Pereira,56,22,466.5,Sí,Plata
198,Cliente_00198,Bogotá,57,23,489.45,No,Oro
199,Cliente_00199,Medellín,58,24,512.4,Sí,Platino
200,Cliente_00200,Cali,59,0,41.6,Sí,Bronce
201,Cliente_00201,Cartagena,60,1,64.55,No,Plata
202,Cliente_00202,Bucaramanga,61,2,87.5,Sí,Oro
203,Cliente_00203,Pereira,62,3,110.45,Sí,Platino
204,Cliente_00204,Bogotá,63,4,79.0,No,Bronce
205,Cliente_00205,Medellín,64,5,101.95,Sí,Plata
206,Cliente_00206,Cali,65,6,124.9,Sí,Oro
207,Cliente_00207,Cartagena,66,7,147.85,No,Platino
208,Cliente_00208,Bucaramanga,67,8,170.8,Sí,Bronce
209,Cliente_00209,Pereira,68,9,193.75,Sí,Plata
210,Cliente_00210,Bogotá,69,10,216.7,No,Oro
211,Cliente_00211,Medellín,70,11,239.65,Sí,Platino
212,Cliente_00212,Cali,18,12,262.6,Sí,Bronce
213,Cliente_00213,Cartagena,19,13,285.55,No,Plata
214,Cliente_00214,Bucaramanga,20,14,308.5,Sí,Oro
215,Cliente_00215,Pereira,21,15,331.45,Sí,Platino
216,Cliente_00216,Bogotá,22,16,354.4,No,Bronce
217,Cliente_00217,Medellín,23,17,377.35,Sí,Plata
218,Cliente_00218,Cali,24,18,400.3,Sí,Oro
219,Cliente_00219,Cartagena,25,19,423.25,No,Platino
220,Cliente_00220,Bucaramanga,26,20,446.2,Sí,Bronce
221,Cliente_00221,Pereira,27,21,414.75,Sí,Plata
222,Cliente_00222,Bogotá,28,22,437.7,No,Oro
223,Cliente_00223,Medellín,29,23,460.65,Sí,Platino
224,Cliente_00224,Cali,30,24,483.6,Sí,Bronce
225,Cliente_00225,Cartagena,31,0,12.8,No,Plata
226,Cliente_00226,Bucaramanga,32,1,35.75,Sí,Oro
227,Cliente_00227,Pereira,33,2,58.7,Sí,Platino
228,Cliente_00228,Bogotá,34,3,81.65,No,Bronce
229,Cliente_00229,Medellín,35,4,104.6,Sí,Plata
230,Cliente_00230,Cali,36,5,127.55,Sí,Oro
231,Cliente_00231,Cartagena,37,6,150.5,No,Platino
232,Cliente_00232,Bucaramanga,38,7,173.45,Sí,Bronce
233,Cliente_00233,Pereira,39,8,196.4,Sí,Plata
234,Cliente_00234,Bogotá,40,9,219.35,No,Oro
235,Cliente_00235,Medellín,41,10,242.3,Sí,Platino
236,Cliente_00236,Cali,42,11,265.25,Sí,Bronce
237,Cliente_00237,Cartagena,43,12,288.2,No,Plata
238,Cliente_00238,Bucaramanga,44,13,256.75,Sí,Oro
239,Cliente_00239,Pereira,45,14,279.7,Sí,Platino
240,Cliente_00240,Bogotá,46,15,302.65,No,Bronce
241,Cliente_00241,Medellín,47,16,325.6,Sí,Plata
242,Cliente_00242,Cali,48,17,348.55,Sí,Oro
243,Cliente_00243,Cartagena,49,18,371.5,No,Platino
244,Cliente_00244,Bucaramanga,50,19,394.45,Sí,Bronce
245,Cliente_00245,Pereira,51,20,417.4,Sí,Plata
246,Cliente_00246,Bogotá,52,21,440.35,No,Oro
247,Cliente_00247,Medellín,53,22,463.3,Sí,Platino
248,Cliente_00248,Cali,54,23,486.25,Sí,Bronce
249,Cliente_00249,Cartagena,55,24,509.2,No,Plata
250,Cliente_00250,Bucaramanga,56,0,38.4,Sí,Oro
251,Cliente_00251,Pereira,57,1,61.35,Sí,Platino
252,Cliente_00252,Bogotá,58,2,84.3,No,Bronce
253,Cliente_00253,Medellín,59,3,107.25,Sí,Plata
254,Cliente_00254,Cali,60,4,130.2,Sí,Oro
255,Cliente_00255,Cartagena,61,5,98.75,No,Platino
256,Cliente_00256,Bucaramanga,62,6,121.7,Sí,Bronce
257,Cliente_00257,Pereira,63,7,144.65,Sí,Plata
258,Cliente_00258,Bogotá,64,8,167.6,No,Oro
259,Cliente_00259,Medellín,65,9,190.55,Sí,Platino
260,Cliente_00260,Cali,66,10,213.5,Sí,Bronce
261,Cliente_00261,Cartagena,67,11,236.45,No,Plata
262,Cliente_00262,Bucaramanga,68,12,259.4,Sí,Oro
263,Cliente_00263,Pereira,69,13,282.35,Sí,Platino
264,Cliente_00264,Bogotá,70,14,305.3,No,Bronce
265,Cliente_00265,Medellín,18,15,328.25,Sí,Plata
266,Cliente_00266,Cali,19,16,351.2,Sí,Oro
267,Cliente_00267,Cartagena,20,17,374.15,No,Platino
268,Cliente_00268,Bucaramanga,21,18,397.1,Sí,Bronce
269,Cliente_00269,Pereira,22,19,420.05,Sí,Plata
270,Cliente_00270,Bogotá,23,20,443.0,No,Oro
271,Cliente_00271,Medellín,24,21,465.95,Sí,Platino
272,Cliente_00272,Cali,25,22,434.5,Sí,Bronce
273,Cliente_00273,Cartagena,26,23,457.45,No,Plata
274,Cliente_00274,Bucaramanga,27,24,480.4,Sí,Oro
275,Cliente_00275,Pereira,28,0,9.6,Sí,Platino
276,Cliente_00276,Bogotá,29,1,32.55,No,Bronce
277,Cliente_00277,Medellín,30,2,55.5,Sí,Plata
278,Cliente_00278,Cali,31,3,78.45,Sí,Oro
279,Cliente_00279,Cartagena,32,4,101.4,No,Platino
280,Cliente_00280,Bucaramanga,33,5,124.35,Sí,Bronce
281,Cliente_00281,Pereira,34,6,147.3,Sí,Plata
282,Cliente_00282,Bogotá,35,7,170.25,No,Oro
283,Cliente_00283,Medellín,36,8,193.2,Sí,Platino
284,Cliente_00284,Cali,37,9,216.15,Sí,Bronce
285,Cliente_00285,Cartagena,38,10,239.1,No,Plata
286,Cliente_00286,Bucaramanga,39,11,262.05,Sí,Oro
287,Cliente_00287,Pereira,40,12,285.0,Sí,Platino
288,Cliente_00288,Bogotá,41,13,307.95,No,Bronce
289,Cliente_00289,Medellín,42,14,276.5,Sí,Plata
290,Cliente_00290,Cali,43,15,299.45,Sí,Oro
291,Cliente_00291,Cartagena,44,16,322.4,No,Platino
292,Cliente_00292,Bucaramanga,45,17,345.35,Sí,Bronce
293,Cliente_00293,Pereira,46,18,368.3,Sí,Plata
294,Cliente_00294,Bogotá,47,19,391.25,No,Oro
295,Cliente_00295,Medellín,48,20,414.2,Sí,Platino
296,Cliente_00296,Cali,49,21,437.15,Sí,Bronce
297,Cliente_00297,Cartagena,50,22,460.1,No,Plata
298,Cliente_00298,Bucaramanga,51,23,483.05,Sí,Oro
299,Cliente_00299,Pereira,52,24,506.0,Sí,Platino
300,Cliente_00300,Bogotá,53,0,35.2,No,Bronce
301,Cliente_00301,Medellín,54,1,58.15,Sí,Plata
302,Cliente_00302,Cali,55,2,81.1,Sí,Oro
303,Cliente_00303,Cartagena,56,3,104.05,No,Platino
304,Cliente_00304,Bucaramanga,57,4,127.0,Sí,Bronce
305,Cliente_00305,Pereira,58,5,149.95,Sí,Plata
306,Cliente_00306,Bogotá,59,6,118.5,No,Oro
307,Cliente_00307,Medellín,60,7,141.45,Sí,Platino
308,Cliente_00308,Cali,61,8,164.4,Sí,Bronce
309,Cliente_00309,Cartagena,62,9,187.35,No,Plata
310,Cliente_00310,Bucaramanga,63,10,210.3,Sí,Oro
311,Cliente_00311,Pereira,64,11,233.25,Sí,Platino
312,Cliente_00312,Bogotá,65,12,256.2,No,Bronce
313,Cliente_00313,Medellín,66,13,279.15,Sí,Plata
314,Cliente_00314,Cali,67,14,302.1,Sí,Oro
315,Cliente_00315,Cartagena,68,15,325.05,No,Platino
316,Cliente_00316,Bucaramanga,69,16,348.0,Sí,Bronce
317,Cliente_00317,Pereira,70,17,370.95,Sí,Plata
318,Cliente_00318,Bogotá,18,18,393.9,No,Oro
319,Cliente_00319,Medellín,19,19,416.85,Sí,Platino
320,Cliente_00320,Cali,20,20,439.8,Sí,Bronce
321,Cliente_00321,Cartagena,21,21,462.75,No,Plata
322,Cliente_00322,Bucaramanga,22,22,485.7,Sí,Oro
323,Cliente_00323,Pereira,23,23,454.25,Sí,Platino
324,Cliente_00324,Bogotá,24,24,477.2,No,Bronce
325,Cliente_00325,Medellín,25,0,6.4,Sí,Plata
326,Cliente_00326,Cali,26,1,29.35,Sí,Oro
327,Cliente_00327,Cartagena,27,2,52.3,No,Platino
328,Cliente_00328,Bucaramanga,28,3,75.25,Sí,Bronce
329,Cliente_00329,Pereira,29,4,98.2,Sí,Plata
330,Cliente_00330,Bogotá,30,5,121.15,No,Oro
331,Cliente_00331,Medellín,31,6,144.1,Sí,Platino
332,Cliente_00332,Cali,32,7,167.05,Sí,Bronce
333,Cliente_00333,Cartagena,33,8,190.0,No,Plata
334,Cliente_00334,Bucaramanga,34,9,212.95,Sí,Oro
335,Cliente_00335,Pereira,35,10,235.9,Sí,Platino
336,Cliente_00336,Bogotá,36,11,258.85,No,Bronce
337,Cliente_00337,Medellín,37,12,281.8,Sí,Plata
338,Cliente_00338,Cali,38,13,304.75,Sí,Oro
339,Cliente_00339,Cartagena,39,14,327.7,No,Platino
340,Cliente_00340,Bucaramanga,40,15,296.25,Sí,Bronce
341,Cliente_00341,Pereira,41,16,319.2,Sí,Plata
342,Cliente_00342,Bogotá,42,17,342.15,No,Oro
343,Cliente_00343,Medellín,43,18,365.1,Sí,Platino
344,Cliente_00344,Cali,44,19,388.05,Sí,Bronce
345,Cliente_00345,Cartagena,45,20,411.0,No,Plata
346,Cliente_00346,Bucaramanga,46,21,433.95,Sí,Oro
347,Cliente_00347,Pereira,47,22,456.9,Sí,Platino
348,Cliente_00348,Bogotá,48,23,479.85,No,Bronce
349,Cliente_00349,Medellín,49,24,502.8,Sí,Plata
350,Cliente_00350,Cali,50,0,32.0,Sí,Oro
351,Cliente_00351,Cartagena,51,1,54.95,No,Platino
352,Cliente_00352,Bucaramanga,52,2,77.9,Sí,Bronce
353,Cliente_00353,Pereira,53,3,100.85,Sí,Plata
354,Cliente_00354,Bogotá,54,4,123.8,No,Oro
355,Cliente_00355,Medellín,55,5,146.75,Sí,Platino
356,Cliente_00356,Cali,56,6,169.7,Sí,Bronce
357,Cliente_00357,Cartagena,57,7,138.25,No,Plata
358,Cliente_00358,Bucaramanga,58,8,161.2,Sí,Oro
359,Cliente_00359,Pereira,59,9,184.15,Sí,Platino
360,Cliente_00360,Bogotá,60,10,207.1,No,Bronce
361,Cliente_00361,Medellín,61,11,230.05,Sí,Plata
362,Cliente_00362,Cali,62,12,253.0,Sí,Oro
363,Cliente_00363,Cartagena,63,13,275.95,No,Platino
364,Cliente_00364,Bucaramanga,64,14,298.9,Sí,Bronce
365,Cliente_00365,Pereira,65,15,321.85,Sí,Plata
366,Cliente_00366,Bogotá,66,16,344.8,No,Oro
367,Cliente_00367,Medellín,67,17,367.75,Sí,Platino
368,Cliente_00368,Cali,68,18,390.7,Sí,Bronce
369,Cliente_00369,Cartagena,69,19,413.65,No,Plata
370,Cliente_00370,Bucaramanga,70,20,436.6,Sí,Oro
371,Cliente_00371,Pereira,18,21,459.55,Sí,Platino
372,Cliente_00372,Bogotá,19,22,482.5,No,Bronce
373,Cliente_00373,Medellín,20,23,505.45,Sí,Plata
374,Cliente_00374,Cali,21,24,474.0,Sí,Oro
375,Cliente_00375,Cartagena,22,0,3.2,No,Platino
376,Cliente_00376,Bucaramanga,23,1,26.15,Sí,Bronce
377,Cliente_00377,Pereira,24,2,49.1,Sí,Plata
378,Cliente_00378,Bogotá,25,3,72.05,No,Oro
379,Cliente_00379,Medellín,26,4,95.0,Sí,Platino
380,Cliente_00380,Cali,27,5,117.95,Sí,Bronce
381,Cliente_00381,Cartagena,28,6,140.9,No,Plata
382,Cliente_00382,Bucaramanga,29,7,163.85,Sí,Oro
383,Cliente_00383,Pereira,30,8,186.8,Sí,Platino
384,Cliente_00384,Bogotá,31,9,209.75,No,Bronce
385,Cliente_00385,Medellín,32,10,232.7,Sí,Plata
386,Cliente_00386,Cali,33,11,255.65,Sí,Oro
387,Cliente_00387,Cartagena,34,12,278.6,No,Platino
388,Cliente_00388,Bucaramanga,35,13,301.55,Sí,Bronce
389,Cliente_00389,Pereira,36,14,324.5,Sí,Plata
390,Cliente_00390,Bogotá,37,15,347.45,No,Oro
391,Cliente_00391,Medellín,38,16,316.0,Sí,Platino
392,Cliente_00392,Cali,39,17,338.95,Sí,Bronce
393,Cliente_00393,Cartagena,40,18,361.9,No,Plata
394,Cliente_00394,Bucaramanga,41,19,384.85,Sí,Oro
395,Cliente_00395,Pereira,42,20,407.8,Sí,Platino
396,Cliente_00396,Bogotá,43,21,430.75,No,Bronce
397,Cliente_00397,Medellín,44,22,453.7,Sí,Plata
398,Cliente_00398,Cali,45,23,476.65,Sí,Oro
399,Cliente_00399,Cartagena,46,24,499.6,No,Platino
400,Cliente_00400,Bucaramanga,47,0,28.8,Sí,Bronce
401,Cliente_00401,Pereira,48,1,51.75,Sí,Plata
402,Cliente_00402,Bogotá,49,2,74.7,No,Oro
403,Cliente_00403,Medellín,50,3,97.65,Sí,Platino
404,Cliente_00404,Cali,51,4,120.6,Sí,Bronce
405,Cliente_00405,Cartagena,52,5,143.55,No,Plata
406,Cliente_00406,Bucaramanga,53,6,166.5,Sí,Oro
407,Cliente_00407,Pereira,54,7,189.45,Sí,Platino
408,Cliente_00408,Bogotá,55,8,158.0,No,Bronce
409,Cliente_00409,Medellín,56,9,180.95,Sí,Plata
410,Cliente_00410,Cali,57,10,203.9,Sí,Oro
411,Cliente_00411,Cartagena,58,11,226.85,No,Platino
412,Cliente_00412,Bucaramanga,59,12,249.8,Sí,Bronce
413,Cliente_00413,Pereira,60,13,272.75,Sí,Plata
414,Cliente_00414,Bogotá,61,14,295.7,No,Oro
415,Cliente_00415,Medellín,62,15,318.65,Sí,Platino
416,Cliente_00416,Cali,63,16,341.6,Sí,Bronce
417,Cliente_00417,Cartagena,64,17,364.55,No,Plata
418,Cliente_00418,Bucaramanga,65,18,387.5,Sí,Oro
419,Cliente_00419,Pereira,66,19,410.45,Sí,Platino
420,Cliente_00420,Bogotá,67,20,433.4,No,Bronce
421,Cliente_00421,Medellín,68,21,456.35,Sí,Plata
422,Cliente_00422,Cali,69,22,479.3,Sí,Oro
423,Cliente_00423,Cartagena,70,23,502.25,No,Platino
424,Cliente_00424,Bucaramanga,18,24,525.2,Sí,Bronce
425,Cliente_00425,Pereira,19,0,0.0,Sí,Plata
426,Cliente_00426,Bogotá,20,1,22.95,No,Oro
427,Cliente_00427,Medellín,21,2,45.9,Sí,Platino
428,Cliente_00428,Cali,22,3,68.85,Sí,Bronce
429,Cliente_00429,Cartagena,23,4,91.8,No,Plata
430,Cliente_00430,Bucaramanga,24,5,114.75,Sí,Oro
431,Cliente_00431,Pereira,25,6,137.7,Sí,Platino
432,Cliente_00432,Bogotá,26,7,160.65,No,Bronce
433,Cliente_00433,Medellín,27,8,183.6,Sí,Plata
434,Cliente_00434,Cali,28,9,206.55,Sí,Oro
435,Cliente_00435,Cartagena,29,10,229.5,No,Platino
436,Cliente_00436,Bucaramanga,30,11,252.45,Sí,Bronce
437,Cliente_00437,Pereira,31,12,275.4,Sí,Plata
438,Cliente_00438,Bogotá,32,13,298.35,No,Oro
439,Cliente_00439,Medellín,33,14,321.3,Sí,Platino
440,Cliente_00440,Cali,34,15,344.25,Sí,Bronce
441,Cliente_00441,Cartagena,35,16,367.2,No,Plata
442,Cliente_00442,Bucaramanga,36,17,335.75,Sí,Oro
443,Cliente_00443,Pereira,37,18,358.7,Sí,Platino
444,Cliente_00444,Bogotá,38,19,381.65,No,Bronce
445,Cliente_00445,Medellín,39,20,404.6,Sí,Plata
446,Cliente_00446,Cali,40,21,427.55,Sí,Oro
